CustomerID,Age,AgeBand,AgeBandSort,Gender,IncomeBand,Region,City,MaritalStatus,EducationLevel
CUST00049,,35-44,3,Female,Very High,Alberta,Red Deer,Married,Master
CUST00050,26.0,25-34,2,Female,Low,Ontario,London,Widowed,Bachelor
CUST00051,56.0,55-64,5,Female,Medium,Ontario,Ottawa,Married,High School
CUST00052,35.0,35-44,3,Male,Medium,BC,Victoria,Divorced,College
CUST00053,21.0,18-24,1,Male,Low,BC,Kelowna,Divorced,Bachelor
CUST00054,,35-44,3,Female,High,BC,Victoria,Single,Bachelor
CUST00055,31.0,25-34,2,Female,Low,Prairies,Winnipeg,Single,Bachelor
CUST00056,67.0,65+,6,Female,Very High,Quebec,Quebec City,Married,College
CUST00057,26.0,25-34,2,Male,high,Ontario,Ottawa,Single,Bachelor
CUST00058,43.0,35-44,3,Female,Medium,Atlantic,Moncton,Married,Master
CUST00059,70.0,65+,6,Male,Medium,Quebec,Montreal,Single,College
CUST00060,19.0,18-24,1,Male,High,BC,Victoria,Married,Bachelor
CUST00061,37.0,35-44,3,Male,Medium,BC,Victoria,Single,College
CUST00062,45.0,45-54,4,Female,Medium,Quebec,Quebec City,Single,High School
CUST00063,64.0,55-64,5,Male,Low,Ontario,Hamilton,Single,Bachelor
CUST00064,24.0,18-24,1,Male,Low,Alberta,Red Deer,Widowed,High School
CUST00065,61.0,55-64,5,Female,Medium,Alberta,Edmonton,Married,Bachelor
CUST00066,25.0,25-34,2,Male,Medium,Quebec,Laval,Divorced,Bachelor
CUST00067,64.0,55-64,5,Male,High,Quebec,Laval,Widowed,College
CUST00068,52.0,45-54,4,Male,Low,Ontario,Toronto,Divorced,College
CUST00069,31.0,25-34,2,Female,High,Ontario,London,Married,Master
CUST00070,34.0,25-34,2,Female,Low,Ontario,Hamilton,Married,High School
CUST00071,53.0,45-54,4,Male,Medium,Ontario,Hamilton,Single,Bachelor
CUST00072,67.0,65+,6,Female,Medium,Atlantic,Moncton,Single,Master
CUST00073,57.0,55-64,5,Female,Medium,Alberta,Calgary,Divorced,Master
CUST00074,21.0,18-24,1,Male,Low,BC,Vancouver,Single,Bachelor
CUST00075,19,18-24,1,Female,Medium,Quebec,Montreal,Widowed,College
CUST00076,23.0,18-24,1,Female,High,Ontario,Hamilton,Married,High School
CUST00077,71.0,65+,6,Female,Medium,Atlantic,Moncton,Married,High School
CUST00078,59.0,55-64,5, Male,Medium,Quebec,Montreal,Single,Bachelor
CUST00079,21.0,18-24,1,Female,High,Ontario,London,Married,High School
CUST00080,71.0,65+,6,Female,High,Quebec,Montreal,Married,Master
CUST00081,46.0,45-54,4,Male,Medium,Prairies,Regina,Married,Bachelor
CUST00082,35.0,35-44,3,Male,Medium,Prairies,Winnipeg,Married,High School
CUST00083,43.0,35-44,3,Male,High,Ontario,Ottawa,Single,College
CUST00084,61.0,55-64,5,Male,Medium,Prairies,Winnipeg,Single,Bachelor
CUST00085,51.0,45-54,4,Female,Low,Ontario,Ottawa,Single,High School
CUST00086,27.0,25-34,2,Male,Medium,Ontario,Ottawa,Single,Bachelor
CUST00087,53.0,45-54,4,Male,High,Alberta,Edmonton,Single,Master
CUST00088,31.0,25-34,2,Female,Low,Alberta,Red Deer,Single,PhD
CUST00089,,45-54,4,Male,Very High,BC,Kelowna,Married,Bachelor
CUST00090,65.0,65+,6,Female,Low,Quebec,Quebec City,Married,Master
CUST00091,32.0,25-34,2,Male,High,Alberta,Edmonton,Single,Bachelor
CUST00092,25.0,25-34,2,Male,Medium,Alberta,Calgary,Married,Bachelor
CUST00093,31,25-34,2,Male,Medium,Prairies,Winnipeg,Married,Bachelor
CUST00094,40.0,35-44,3,Male,High,Quebec,Montreal,Married,College
CUST00095,74.0,65+,6,Male,Medium,Atlantic,St. John's,Married,High School
CUST00096,57.0,55-64,5,Female,Medium,Atlantic,Halifax,Married,Bachelor
CUST00097,38.0,35-44,3,Female,Low,Ontario,London,Single,PhD
CUST00098,33,25-34,2,Male,Low,Alberta,Edmonton,Married,Bachelor
CUST00099,62.0,55-64,5,Female,Low,Quebec,Quebec City,Single,Bachelor
CUST00100,35.0,35-44,3,Female,High,Quebec,Laval,Married,Bachelor
CUST00101,64.0,55-64,5,Female,Low,BC,Kelowna,Divorced,Bachelor
CUST00102,70.0,65+,6,Male,Low,Ontario,Toronto,Married,College
CUST00103,41.0,35-44,3,Male,Medium,Quebec,Laval,Married,Master
CUST00104,43.0,35-44,3,Male,Medium,Prairies,Saskatoon,Divorced,Bachelor
CUST00105,42.0,35-44,3,Female,high,Ontario,London,Single,High School
CUST00106,62.0,55-64,5,Female,Low,Quebec,Quebec City,Divorced,Bachelor
CUST00107,58.0,55-64,5,Male,Low,Prairies,Regina,Single,College
CUST00108,46.0,45-54,4,Male,Very High,Quebec,Quebec City,Divorced,Bachelor
CUST00109,32.0,25-34,2,Female,Medium,Quebec,Laval,Single,Bachelor
CUST00110,62.0,55-64,5,Female,High,Quebec,Quebec City,Single,Bachelor
CUST00111,18.0,18-24,1,Female,High,Quebec,Montreal,Married,High School
CUST00112,42.0,35-44,3,Female,High,BC,Kelowna,Divorced,High School
CUST00113,24.0,18-24,1,Male,Low,Alberta,Red Deer,Single,College
CUST00114,,25-34,2,Female,High,Quebec,Laval,Married,Bachelor
CUST00115,41.0,35-44,3,Female,High,Alberta,Edmonton,Married,College
CUST00116,18.0,18-24,1,Male,Medium,Quebec,Montreal,Single,College
CUST00117,61.0,55-64,5,Female,Medium,Ontario,Hamilton,Married,PhD
CUST00118,25.0,25-34,2,Female,Medium,BC,Victoria,Married,College
CUST00119,41.0,35-44,3,Male,Low,BC,Kelowna,Single,Master
CUST00120,,25-34,2,Female,Medium,Quebec,Quebec City,Married,Master
CUST00121,68.0,65+,6,Female,Medium,Ontario,Toronto,Divorced,Master
CUST00122,34,25-34,2,Female,Medium,Ontario,Ottawa,Married,Master
CUST00123,25.0,25-34,2,Male,Medium,Ontario,Ottawa,Widowed,Bachelor
CUST00124,52.0,45-54,4,Male,Medium,Ontario,London,Single,Bachelor
CUST00125,52.0,45-54,4,Female,Medium,BC,Kelowna,Single,Bachelor
CUST00126,50.0,45-54,4,Male,Very High,Ontario,Ottawa,Divorced,College
CUST00127,22.0,18-24,1,Female,Low,Alberta,Red Deer,Divorced,College
CUST00128,59.0,55-64,5,Female,Medium,Ontario,Ottawa,Single,College
CUST00129,56.0,55-64,5,Male,Low,Ontario,London,Married,College
CUST00130,58.0,55-64,5,Female,Medium,Quebec,Montreal,Divorced,Bachelor
CUST00131,45.0,45-54,4,Female,High,Ontario,Ottawa,Single,PhD
CUST00132,24.0,18-24,1,Male,Very High,Prairies,Regina,Single,Master
CUST00133,26.0,25-34,2,Female,Medium,Ontario,Ottawa,Married,College
CUST00134,25.0,25-34,2,Female,Very High,Quebec,Quebec City,Widowed,High School
CUST00135,,25-34,2,Female,Low,Alberta,Calgary,Married,Bachelor
CUST00136,51.0,45-54,4,Female,Medium,BC,Kelowna,Married,College
CUST00137,50.0,45-54,4,Male,Low,Ontario,Toronto,Single,Master
CUST00138,65.0,65+,6,Female,High,Quebec,Quebec City,Married,Bachelor
CUST00139,72.0,65+,6,Female,Medium,BC,Vancouver,Single,Bachelor
CUST00140,40.0,35-44,3,Female,High,Atlantic,Moncton,Widowed,College
CUST00141,41.0,35-44,3,Female,High,Prairies,Saskatoon,Married,High School
CUST00142,54.0,45-54,4,Male,Low,Ontario,Toronto,Married,College
CUST00143,52,45-54,4,Female,Low,Atlantic,Halifax,Divorced,Bachelor
CUST00144,61.0,55-64,5,Male,High,Ontario,Ottawa,Single,PhD
CUST00145,57.0,55-64,5,Male,Medium,Ontario,Toronto,Widowed,High School
CUST00146,39.0,35-44,3,Male,Low,Alberta,Calgary,Married,College
CUST00147,44.0,35-44,3, Female,Medium,Ontario,Ottawa,Single,Bachelor
CUST00148,,45-54,4,Female,Medium,Ontario,Hamilton,Single,College
CUST00149,18.0,18-24,1,Female,Low,Ontario,Toronto,Divorced,Master
CUST00150,52.0,45-54,4,Female,Medium,Quebec,Montreal,Divorced,High School
CUST00151,54.0,45-54,4,Female,Low,Alberta,Red Deer,Single,PhD
CUST00152,64.0,55-64,5,Female,Medium,BC,Vancouver,Single,Master
CUST00153,31.0,25-34,2,Male,High,Ontario,Ottawa,Divorced,Master
CUST00154,20.0,18-24,1,Male,Very High,Quebec,Montreal,Single,High School
CUST00155,,18-24,1,Male,Medium,Prairies,Saskatoon,Married,College
CUST00156,22.0,18-24,1,Female,low,Alberta,Red Deer,Married,Master
CUST00157,43.0,35-44,3,Female,Very High,Ontario,London,Divorced,Master
CUST00158,72.0,65+,6,Male,Medium,Atlantic,St. John's,Married,Bachelor
CUST00159,31.0,25-34,2,Male,Low,BC,Kelowna,Married,College
CUST00160,56.0,55-64,5,Female,Very High,Ontario,Toronto,Widowed,College
CUST00161,44.0,35-44,3,Male,High,Ontario,Hamilton,Single,PhD
CUST00162,26.0,25-34,2,Female,High,Ontario,Toronto,Single,High School
CUST00163,,25-34,2,Female,High,BC,Vancouver,Single,High School
CUST00164,32.0,25-34,2,Male,Low,Ontario,Toronto,Widowed,High School
CUST00165,43.0,35-44,3,Male,Low,Quebec,Laval,Married,Bachelor
CUST00166,59.0,55-64,5,Female,High,Ontario,Hamilton,Single,High School
CUST00167,30.0,25-34,2,Female,Low,Prairies,Winnipeg,Married,Bachelor
CUST00168,68.0,65+,6,Female,Medium,Ontario,Hamilton,Married,College
CUST00169,49.0,45-54,4,Female,High,Prairies,Winnipeg,Widowed,High School
CUST00170,56.0,55-64,5,Male,High,Prairies,Regina,Single,Bachelor
CUST00171,66.0,65+,6,Female,Medium,Ontario,Ottawa,Married,High School
CUST00172,69.0,65+,6,Female,High,Quebec,Laval,Married,College
CUST00173,,45-54,4,Female,High,Ontario,Hamilton,Single,Bachelor
CUST00174,21.0,18-24,1,Male,High,Prairies,Regina,Divorced,College
CUST00175,47.0,45-54,4,Female,Low,Quebec,Montreal,Single,College
CUST00176,54.0,45-54,4,Female,Medium,Ontario,Toronto,Married,Master
CUST00177,40.0,35-44,3,Male,Medium,Ontario,Ottawa,Married,Master
CUST00178,56.0,55-64,5,Male,Low,Quebec,Quebec City,Married,College
CUST00179,62,55-64,5,Female,Medium,Prairies,Saskatoon,Single,College
CUST00180,32.0,25-34,2, Male,Low,BC,Vancouver,Widowed,College
CUST00181,60.0,55-64,5,Male,Medium,Alberta,Edmonton,Single,Master
CUST00182,46.0,45-54,4,Male,Very High,Quebec,Quebec City,Married,Bachelor
CUST00183,53.0,45-54,4,Female,Low,Ontario,Hamilton,Married,High School
CUST00184,30.0,25-34,2,Female,High,Atlantic,Moncton,Divorced,Master
CUST00185,49.0,45-54,4,Female,High,Ontario,London,Married,Bachelor
CUST00186,24.0,18-24,1,Male,Low,Prairies,Regina,Single,College
CUST00187,68.0,65+,6,Female,Very High,Quebec,Montreal,Divorced,College
CUST00188,39.0,35-44,3,Female,Medium,Ontario,London,Single,High School
CUST00189,45.0,45-54,4,Female,Medium,BC,Vancouver,Single,PhD
CUST00190,19.0,18-24,1,Female,High,Atlantic,St. John's,Divorced,Bachelor
CUST00191,59.0,55-64,5,Male,Medium,Atlantic,Moncton,Married,High School
CUST00192,62.0,55-64,5,Female,High,Ontario,Toronto,Single,Bachelor
CUST00193,74.0,65+,6,Male,Low,Ontario,Hamilton,Married,Bachelor
CUST00194,70.0,65+,6,Female,High,Quebec,Montreal,Single,High School
CUST00195,23.0,18-24,1,Male,Medium,BC,Vancouver,Single,College
CUST00196,45.0,45-54,4,Male,Medium,Alberta,Edmonton,Single,Bachelor
CUST00197,45.0,45-54,4,Male,low,Ontario,Toronto,Married,College
CUST00198,61.0,55-64,5,Female,High,Atlantic,St. John's,Married,College
CUST00199,61.0,55-64,5,Male,High,BC,Victoria,Married,High School
CUST00200,37.0,35-44,3,Female,Medium,Alberta,Red Deer,Single,College
CUST00201,47.0,45-54,4,Male,Medium,Quebec,Laval,Married,Bachelor
CUST00202,28.0,25-34,2,Male,Medium,Quebec,Laval,Married,High School
CUST00203,72.0,65+,6,Female,High,Atlantic,Moncton,Married,Bachelor
CUST00204,45.0,45-54,4,Male,Medium,BC,Vancouver,Divorced,College
CUST00205,42.0,35-44,3,Male,High,Alberta,Red Deer,Married,Bachelor
CUST00206,56.0,55-64,5,Female,High,Atlantic,Halifax,Married,College
CUST00207,,45-54,4,Male,Medium,BC,Vancouver,Widowed,Bachelor
CUST00208,18.0,18-24,1,Male,Low,Quebec,Laval,Married,Bachelor
CUST00209,,65+,6,Male,Medium,Ontario,Toronto,Married,Bachelor
CUST00210,44.0,35-44,3,Female,High,Ontario,Ottawa,Married,Bachelor
CUST00211,74.0,65+,6,Female,Low,Ontario,Ottawa,Single,High School
CUST00212,69.0,65+,6,Female,Medium,Ontario,London,Married,PhD
CUST00213,,25-34,2,Female,High,Ontario,Toronto,Married,Master
CUST00214,58.0,55-64,5,Male,Medium,Ontario,Toronto,Single,Bachelor
CUST00215,20.0,18-24,1,Male,Medium,Quebec,Quebec City,Single,Master
CUST00216,,55-64,5,Female,Low,Quebec,Montreal,Widowed,College
CUST00217,23.0,18-24,1,Male,Low,Ontario,Toronto,Married,High School
CUST00218,25.0,25-34,2,Male,High,Ontario,Toronto,Single,Bachelor
CUST00219,44.0,35-44,3,Male,Low,BC,Vancouver,Single,Master
CUST00220,26.0,25-34,2,Male,Medium,Quebec,Laval,Married,High School
CUST00221,54.0,45-54,4,Female,High,Quebec,Montreal,Single,Bachelor
CUST00222,50.0,45-54,4,Male,Medium,BC,Victoria,Single,Master
CUST00223,68.0,65+,6,Female,very high,Alberta,Red Deer,Married,Master
CUST00224,59.0,55-64,5,Male,Very High,Quebec,Laval,Married,College
CUST00225,61.0,55-64,5, Female,Medium,BC,Victoria,Single,High School
CUST00226,41.0,35-44,3,Male,Low,Atlantic,Halifax,Single,College
CUST00227,32,25-34,2,Male,High,Alberta,Red Deer,Married,Bachelor
CUST00228,71.0,65+,6,Female,Medium,Quebec,Laval,Single,Master
CUST00229,,45-54,4,Female,low,BC,Vancouver,Married,Bachelor
CUST00230,49.0,45-54,4,Male,High,Ontario,Toronto,Single,Master
CUST00231,41.0,35-44,3,Male,Low,Quebec,Quebec City,Single,Bachelor
CUST00232,58,55-64,5,Male,High,Atlantic,St. John's,Married,Bachelor
CUST00233,69.0,65+,6, Male,Low,Quebec,Montreal,Widowed,High School
CUST00234,66.0,65+,6,Male,Low,Prairies,Winnipeg,Single,College
CUST00235,66.0,65+,6,Male,Low,Quebec,Quebec City,Single,High School
CUST00236,69.0,65+,6,Male,Very High,Atlantic,St. John's,Single,College
CUST00237,29.0,25-34,2,Male,High,Quebec,Montreal,Married,High School
CUST00238,56.0,55-64,5,Female,High,Ontario,Ottawa,Divorced,High School
CUST00239,19.0,18-24,1,Female,Medium,BC,Kelowna,Married,College
CUST00240,20.0,18-24,1,Female,Medium,Ontario,Hamilton,Divorced,Bachelor
CUST00241,66.0,65+,6, Male,Low,Ontario,Hamilton,Single,College
CUST00242,54.0,45-54,4,Male,Medium,Alberta,Red Deer,Divorced,Bachelor
CUST00243,66.0,65+,6,Female,Medium,Ontario,Ottawa,Single,Bachelor
CUST00244,73.0,65+,6,Male,Medium,Alberta,Calgary,Single,Bachelor
CUST00245,34.0,25-34,2,Male,Medium,Ontario,Hamilton,Single,Bachelor
CUST00246,66.0,65+,6,Female,Very High,Ontario,Hamilton,Single,Bachelor
CUST00247,19.0,18-24,1,Female,Low,Atlantic,Halifax,Married,Master
CUST00248,19.0,18-24,1,Female,Very High,Quebec,Laval,Married,College
CUST00249,45.0,45-54,4,Male,Low,BC,Kelowna,Married,College
CUST00250,71.0,65+,6,Male,Medium,BC,Vancouver,Single,High School
CUST00251,40.0,35-44,3,Female,Medium,Quebec,Montreal,Married,Bachelor
CUST00252,54.0,45-54,4,Male,medium,Prairies,Regina,Single,College
CUST00253,49.0,45-54,4,Female,Medium,BC,Vancouver,Married,Bachelor
CUST00254,50.0,45-54,4,Female,medium,Quebec,Quebec City,Single,High School
CUST00255,18.0,18-24,1,Female,Medium,Alberta,Edmonton,Single,Bachelor
CUST00256,36.0,35-44,3,Male,High,Ontario,London,Married,Bachelor
CUST00257,19.0,18-24,1,Male,High,Quebec,Laval,Divorced,College
CUST00258,70.0,65+,6,Female,High,Atlantic,St. John's,Married,Bachelor
CUST00259,61.0,55-64,5,Female,Low,BC,Vancouver,Single,Master
CUST00260,43.0,35-44,3,Female,Medium,Alberta,Calgary,Single,Bachelor
CUST00261,49.0,45-54,4,Male,Medium,BC,Kelowna,Single,College
CUST00262,23.0,18-24,1,Male,Medium,Alberta,Red Deer,Married,Master
CUST00263,49.0,45-54,4,Female,Medium,Prairies,Saskatoon,Married,High School
CUST00264,72.0,65+,6,Female,Medium,Ontario,Toronto,Single,College
CUST00265,21.0,18-24,1,Female,Low,Ontario,Hamilton,Married,High School
CUST00266,72.0,65+,6,Male,Low,Quebec,Laval,Married,Master
CUST00267,28,25-34,2,Female,Low,BC,Vancouver,Married,High School
CUST00268,73.0,65+,6,Female,High,Ontario,London,Single,High School
CUST00269,34.0,25-34,2,Female,High,Ontario,Toronto,Married,Master
CUST00270,55.0,55-64,5, Male,Very High,Ontario,Hamilton,Single,Bachelor
CUST00271,41.0,35-44,3,Male,High,Atlantic,St. John's,Divorced,Bachelor
CUST00272,22.0,18-24,1,Female,Low,BC,Kelowna,Married,High School
CUST00273,,65+,6,Male,High,Quebec,Montreal,Single,College
CUST00274,51.0,45-54,4, Male,high,Ontario,London,Single,PhD
CUST00275,23.0,18-24,1,Female,Medium,Quebec,Laval,Single,Bachelor
CUST00276,39.0,35-44,3,Male,Medium,Ontario,Hamilton,Married,Master
CUST00277,28.0,25-34,2,Female,Very High,Ontario,Hamilton,Divorced,PhD
CUST00278,65.0,65+,6,Male,Medium,Prairies,Saskatoon,Single,Bachelor
CUST00279,33.0,25-34,2,Female,Very High,Atlantic,Moncton,Divorced,College
CUST00280,50.0,45-54,4,Female,Low,Ontario,London,Married,College
CUST00281,26.0,25-34,2,Male,Low,Ontario,Toronto,Divorced,High School
CUST00282,23.0,18-24,1,Male,Medium,Ontario,Hamilton,Married,College
CUST00283,33.0,25-34,2,Male,Medium,Quebec,Laval,Married,Master
CUST00284,46.0,45-54,4,Male,High,Ontario,Toronto,Married,Bachelor
CUST00285,20.0,18-24,1,Female,Very High,Ontario,Toronto,Divorced,Master
CUST00286,37.0,35-44,3,Female,Medium,Ontario,London,Single,Master
CUST00287,53.0,45-54,4,Male,Low,Alberta,Calgary,Divorced,PhD
CUST00288,36.0,35-44,3,Male,High,BC,Kelowna,Married,Master
CUST00289,43.0,35-44,3,Male,Medium,BC,Victoria,Married,Bachelor
CUST00290,20.0,18-24,1,Female,Low,Quebec,Montreal,Widowed,Master
CUST00291,36.0,35-44,3,Male,Medium,Prairies,Regina,Divorced,Bachelor
CUST00292,37.0,35-44,3,Female,High,Atlantic,Halifax,Married,Bachelor
CUST00293,49.0,45-54,4,Female,High,Ontario,Hamilton,Single,Bachelor
CUST00294,24.0,18-24,1,Female,Medium,Ontario,Toronto,Widowed,Bachelor
CUST00295,69.0,65+,6,Male,Medium,Quebec,Laval,Married,College
CUST00296,58.0,55-64,5,Female,Very High,Ontario,Toronto,Married,College
CUST00297,50.0,45-54,4,Male,High,Quebec,Quebec City,Divorced,College
CUST00298,57.0,55-64,5,Male,Medium,BC,Vancouver,Single,High School
CUST00299,56.0,55-64,5,Female,Medium,Quebec,Montreal,Single,Bachelor
CUST00300,35.0,35-44,3,Female,High,Ontario,Ottawa,Married,Master
CUST00301,57.0,55-64,5,Male,Low,Quebec,Montreal,Single,Bachelor
CUST00302,18.0,18-24,1,Male,Low,Atlantic,Moncton,Married,High School
CUST00303,,25-34,2,Male,Medium,Ontario,Hamilton,Single,Master
CUST00304,45.0,45-54,4,Male,Medium,BC,Victoria,Single,Master
CUST00305,74.0,65+,6, Male,Medium,Ontario,London,Married,Master
CUST00306,42,35-44,3,Male,Low,Ontario,Ottawa,Married,Bachelor
CUST00307,67.0,65+,6,Male,High,Quebec,Laval,Single,High School
CUST00308,40.0,35-44,3,Female,Medium,Ontario,Ottawa,Single,College
CUST00309,48.0,45-54,4,Female,Low,Ontario,Ottawa,Married,Bachelor
CUST00310,47.0,45-54,4,Female,Low,Ontario,Hamilton,Married,High School
CUST00311,59.0,55-64,5,Male,Very High,Quebec,Montreal,Divorced,High School
CUST00312,52.0,45-54,4,Female,High,BC,Vancouver,Single,Master
CUST00313,24.0,18-24,1,Female,Low,Ontario,London,Married,Bachelor
CUST00314,33.0,25-34,2,Female,High,BC,Victoria,Single,College
CUST00315,43.0,35-44,3,Female,Medium,Ontario,Toronto,Married,College
CUST00316,,65+,6,Female,Very High,BC,Vancouver,Divorced,College
CUST00317,74.0,65+,6,Female,Medium,Quebec,Quebec City,Married,High School
CUST00318,69.0,65+,6,Male,High,BC,Kelowna,Married,Bachelor
CUST00319,66.0,65+,6,Female,Low,Atlantic,Halifax,Single,High School
CUST00320,19.0,18-24,1,Female,Medium,Prairies,Saskatoon,Widowed,Master
CUST00321,18.0,18-24,1,Female,Very High,Ontario,Hamilton,Married,Master
CUST00322,65.0,65+,6,Female,Medium,Prairies,Winnipeg,Married,Bachelor
CUST00323,29.0,25-34,2,Male,Medium,Ontario,Hamilton,Married,Bachelor
CUST00324,22.0,18-24,1,Male,Low,Atlantic,Moncton,Single,High School
CUST00325,54.0,45-54,4,Female,High,Ontario,Hamilton,Divorced,Bachelor
CUST00326,49.0,45-54,4,Female,Medium,Quebec,Laval,Single,Bachelor
CUST00327,72.0,65+,6,Female,Medium,Ontario,Ottawa,Married,Bachelor
CUST00328,,25-34,2,Male,Very High,Ontario,Toronto,Married,High School
CUST00329,58.0,55-64,5,Male,Low,BC,Vancouver,Single,College
CUST00330,52.0,45-54,4,Female,Medium,Prairies,Regina,Single,College
CUST00331,36,35-44,3,Female,Very High,BC,Kelowna,Married,Bachelor
CUST00332,,65+,6,Female,Medium,BC,Kelowna,Single,Bachelor
CUST00333,33.0,25-34,2,Male,Medium,Alberta,Red Deer,Single,Bachelor
CUST00334,20.0,18-24,1,Female,Medium,Ontario,Toronto,Single,Bachelor
CUST00335,37.0,35-44,3, Male,High,Ontario,Ottawa,Married,High School
CUST00336,41.0,35-44,3,Female,Low,Ontario,Ottawa,Divorced,Master
CUST00337,71.0,65+,6,Male,Very High,Quebec,Quebec City,Divorced,Bachelor
CUST00338,73.0,65+,6,Male,High,Ontario,Hamilton,Married,High School
CUST00339,50.0,45-54,4,Female,Low,Ontario,Hamilton,Married,Bachelor
CUST00340,41.0,35-44,3,Female,High,Ontario,Ottawa,Single,Bachelor
CUST00341,69.0,65+,6,Male,Medium,Ontario,London,Single,College
CUST00342,28.0,25-34,2,Female,Medium,Prairies,Winnipeg,Divorced,Bachelor
CUST00343,66.0,65+,6,Male,High,Ontario,Ottawa,Married,Master
CUST00344,25.0,25-34,2,Male,Very High,Quebec,Montreal,Married,College
CUST00345,53.0,45-54,4,Male,Low,BC,Kelowna,Married,Bachelor
CUST00346,,55-64,5,Male,Medium,Quebec,Quebec City,Divorced,High School
CUST00347,57.0,55-64,5, Female,Medium,Ontario,London,Divorced,Master
CUST00348,37.0,35-44,3,Male,Medium,Ontario,Ottawa,Single,College
CUST00349,52.0,45-54,4,Male,Medium,Ontario,Hamilton,Single,High School
CUST00350,65.0,65+,6,Female,Low,Quebec,Montreal,Married,Bachelor
CUST00351,42.0,35-44,3,Male,High,Ontario,Ottawa,Single,High School
CUST00352,52.0,45-54,4,Female,Medium,Quebec,Quebec City,Divorced,College
CUST00353,42.0,35-44,3,Male,Low,BC,Vancouver,Single,High School
CUST00354,46.0,45-54,4,Female,High,Quebec,Quebec City,Married,High School
CUST00355,35.0,35-44,3,Male,High,Quebec,Quebec City,Married,High School
