PolicyID,CustomerID,RiskScore,RiskCategory,AnnualPremium,ClaimAmount,ClaimsCount,PolicyYear
POL000114,CUST04820,34.0,Medium,1908.71,0.0,0,2025
POL000115,CUST02384,44.4,Medium,1819.52,0.0,0,2025
POL000116,CUST01517,6.6,Low,1593.19,0.0,0,2025
POL000117,CUST04011,20.7,Low,1612.25,0.0,0,2025
POL000118,CUST01867,7.3,Low,1326.66,2184.59,2,2025
POL000119,CUST00623,29.5,Medium,1273.97,0.0,0,2025
POL000120,CUST04742,40.5,Medium,2035.23,0.0,0,2025
POL000121,CUST02409,40.0,Medium,1983.85,0.0,0,2025
POL000122,CUST02499,31.4,Medium,1290.94,0.0,0,2025
POL000123,CUST03646,,Low,1524.84,2810.08,1,2025
POL000124,CUST04086,14.2,Low,1494.44,0.0,0,2025
POL000125,CUST02835,13.0,Low,1376.6,6859.21,1,2025
POL000126,CUST01275,36.4,Medium,1375.57,7392.78,1,2025
POL000127,CUST04458,21.9,Low,1465.71,0.0,0,2025
POL000128,CUST00458,20.4,Low,1201.56,0.0,0,2025
POL000129,CUST03360,30.8,Medium,1439.48,0.0,0,2025
POL000130,CUST04639,6.8,Low,1084.66,0.0,0,2025
POL000131,CUST01222,0.0,Low,1176.38,3068.32,1,2025
POL000132,CUST02798,20.7,Low,1432.1,0.0,0,2025
POL000133,CUST00869,18.5,Low,1383.8,0.0,0,2025
POL000134,CUST00109,28.9,Medium,,4554.46,1,2025
POL000135,CUST01187,55.2,High,2086.15,0.0,0,2025
POL000136,CUST03819,41.6,Medium,1883.58,0.0,0,2025
POL000137,CUST03927,19.2,Low,1548.09,0.0,0,2025
POL000138,CUST03898,9.9,Low,1035.05,0.0,0,2025
POL000139,CUST03203,4.4,Low,1236.35,9801.54,1,2025
POL000140,CUST03374,32.2,Medium,1579.58,0.0,0,2025
POL000141,CUST04971,37.8,Medium,1958.03,0.0,0,2025
POL000142,CUST03957,30.3,Medium,1316.44,6266.46,2,2025
POL000143,CUST01984,9.2,Low,1495.55,0.0,0,2025
POL000144,CUST04363,0.0,Low,899.93,0.0,0,2025
POL000145,CUST03425,0.0,Low,1220.05,0.0,0,2025
POL000146,CUST02875,32.1,Medium,,3672.63,2,2025
POL000147,CUST02716,36.3,Medium,1875.83,0.0,0,2025
POL000148,CUST01618,31.2,Medium,1806.34,0.0,0,2025
POL000149,CUST03938,22.8,Low,1262.87,0.0,0,2025
POL000150,CUST04183,55.6,High,2051.1,0.0,0,2025
POL000151,CUST04003,42.7,Medium,1486.99,0.0,0,2025
POL000152,CUST03215,24.7,Low,1497.32,852.33,1,2025
POL000153,CUST02162,6.9,Low,1436.29,6426.9,3,2025
POL000154,CUST03593,6.2,Low,1070.46,0.0,0,2025
POL000155,CUST01416,31.3,Medium,1696.37,2488.82,3,2025
POL000156,CUST04506,8.8,Low,779.56,0.0,0,2025
POL000157,CUST04881,4.7,Low,1100.97,0.0,0,2025
POL000158,CUST01675,24.6,Low,1350.97,3890.54,1,2025
POL000159,CUST04932,7.0,Low,962.7,0.0,0,2025
POL000160,CUST04184,0.9,Low,932.48,0.0,0,2025
POL000161,CUST01319,7.6,Low,884.51,0.0,0,2025
POL000162,CUST04091,39.4,Medium,1566.66,0.0,0,2025
POL000163,CUST00851,27.8,Medium,1392.57,0.0,0,2025
POL000164,CUST00322,29.0,Medium,1728.82,0.0,0,2025
POL000165,CUST04972,13.4,Low,1490.49,0.0,0,2025
POL000166,CUST00180,0.0,Low,988.12,0.0,0,2025
POL000167,CUST04727,10.2,Low,,0.0,0,2025
POL000168,CUST02426,,Low,1554.62,0.0,0,2025
POL000169,CUST03569,17.6,Low,1538.5,3532.83,1,2025
POL000170,CUST02272,52.4,High,2043.45,0.0,0,2025
POL000171,CUST00211,0.0,Low,813.0,0.0,0,2025
POL000172,CUST00473,6.1,Low,1148.54,0.0,0,2025
POL000173,CUST04146,27.5,Medium,1458.7,9465.64,1,2025
POL000174,CUST02750,7.3,Low,1284.69,0.0,0,2025
POL000175,CUST04535,48.1,Medium,2091.07,2480.73,2,2025
POL000176,CUST03873,46.2,Medium,,0.0,0,2025
POL000177,CUST04621,11.8,Low,1312.6,838.87,1,2025
POL000178,CUST00697,35.3,Medium,1893.13,0.0,0,2025
POL000179,CUST01385,2.8,Low,1032.85,1828.03,2,2025
POL000180,CUST01795,21.5,Low,1411.47,0.0,0,2025
POL000181,CUST00143,23.6,Low,1167.82,0.0,0,2025
POL000182,CUST02782,5.5,Low,,0.0,0,2025
POL000183,CUST00484,,Low,1131.76,0.0,0,2025
POL000184,CUST04811,1.0,Low,1351.07,0.0,0,2025
POL000185,CUST00491,10.2,Low,917.39,0.0,0,2025
POL000186,CUST01660,30.4,Medium,2012.1,0.0,0,2025
POL000187,CUST00670,23.1,Low,1264.25,0.0,0,2025
POL000188,CUST01968,41.2,Medium,1974.44,780.24,2,2025
POL000189,CUST01730,19.4,Low,1415.99,7036.49,1,2025
POL000190,CUST03952,2.2,Low,841.23,0.0,0,2025
POL000191,CUST00590,,Low,1622.36,0.0,0,2025
POL000192,CUST04928,9.3,Low,1422.19,0.0,0,2025
POL000193,CUST00766,10.0,Low,1368.75,0.0,0,2025
POL000194,CUST02807,20.8,Low,1702.48,0.0,0,2025
POL000195,CUST04407,47.3,Medium,,0.0,0,2025
POL000196,CUST03551,2.5,Low,1235.78,0.0,0,2025
POL000197,CUST00444,20.6,Low,1270.66,1965.89,1,2025
POL000198,CUST00970,13.0,Low,1344.17,3427.61,1,2025
POL000199,CUST01128,0.0,Low,876.42,0.0,0,2025
POL000200,CUST02461,44.8,Medium,2067.1,0.0,0,2025
POL000201,CUST01841,24.6,Low,1297.33,200.0,1,2025
POL000202,CUST01997,41.6,Medium,,0.0,0,2025
POL000203,CUST03430,,Low,1167.82,0.0,0,2025
POL000204,CUST01393,57.1,High,2026.65,351.13,1,2025
POL000205,CUST04926,22.2,Low,1521.09,0.0,0,2025
POL000206,CUST03802,32.6,Medium,,0.0,0,2025
POL000207,CUST01574,34.1,Medium,1659.26,0.0,0,2025
POL000208,CUST01914,20.6,Low,1084.62,0.0,0,2025
POL000209,CUST02159,39.6,Medium,1396.1,0.0,0,2025
POL000210,CUST04222,13.0,Low,1502.55,0.0,0,2025
POL000211,CUST01835,31.6,Medium,1789.09,0.0,0,2025
POL000212,CUST02866,48.6,Medium,1821.81,0.0,0,2025
POL000213,CUST01182,16.3,Low,1244.28,1504.84,1,2025
POL000214,CUST02324,40.7,Medium,,0.0,0,2025
POL000215,CUST02512,32.5,Medium,1579.55,0.0,0,2025
POL000216,CUST00015,4.3,Low,1178.91,0.0,0,2025
POL000217,CUST00900,1.1,Low,1174.8,0.0,0,2025
POL000218,CUST02788,18.8,Low,1387.09,0.0,0,2025
POL000219,CUST03748,,Medium,,0.0,0,2025
POL000220,CUST04002,35.3,Medium,1976.39,2368.99,2,2025
POL000221,CUST01491,27.4,Medium,1639.79,550.99,2,2025
POL000222,CUST03432,6.2,Low,1183.08,0.0,0,2025
POL000223,CUST03370,61.3,High,1989.69,0.0,0,2025
POL000224,CUST02357,47.3,Medium,1606.11,1760.39,1,2025
POL000225,CUST01049,18.4,Low,1435.27,2520.27,1,2025
POL000226,CUST03409,0.0,Low,994.54,0.0,0,2025
POL000227,CUST04072,5.6,Low,835.88,0.0,0,2025
POL000228,CUST02923,47.2,Medium,1718.15,0.0,0,2025
POL000229,CUST02331,35.9,Medium,1549.18,0.0,0,2025
POL000230,CUST03972,50.2,High,1745.55,0.0,0,2025
POL000231,CUST04351,42.7,Medium,1627.42,0.0,0,2025
POL000232,CUST04883,24.6,Low,1237.99,0.0,0,2025
POL000233,CUST03217,45.4,Medium,1920.52,0.0,0,2025
POL000234,CUST03811,19.6,Low,1348.34,8696.39,1,2025
POL000235,CUST04625,20.9,Low,1211.79,0.0,0,2025
POL000236,CUST01748,0.0,Low,823.59,0.0,0,2025
POL000237,CUST01861,22.4,Low,1285.54,0.0,0,2025
POL000238,CUST01634,17.4,Low,1301.63,0.0,0,2025
POL000239,CUST01016,59.2,High,2193.28,0.0,0,2025
POL000240,CUST00551,32.1,Medium,1637.73,300.09,1,2025
POL000241,CUST04423,,Medium,2034.78,0.0,0,2025
POL000242,CUST01225,15.0,Low,1510.34,1049.9,3,2025
POL000243,CUST00748,7.4,Low,1185.75,0.0,0,2025
POL000244,CUST00920,13.4,Low,1347.57,0.0,0,2025
POL000245,CUST03055,2.2,Low,,0.0,0,2025
POL000246,CUST04890,22.5,Low,1130.18,0.0,0,2025
POL000247,CUST02705,4.4,Low,985.14,0.0,0,2025
POL000248,CUST03756,6.8,Low,1092.12,0.0,0,2025
POL000249,CUST00313,32.9,Medium,1524.93,0.0,0,2025
POL000250,CUST03690,28.9,Medium,,0.0,0,2025
POL000251,CUST01283,39.9,Medium,1943.8,5135.47,3,2025
POL000252,CUST00916,46.6,Medium,1767.81,0.0,0,2025
POL000253,CUST04966,3.0,Low,1113.91,0.0,0,2025
POL000254,CUST00901,,Low,1243.81,0.0,0,2025
POL000255,CUST01689,22.8,Low,1434.81,461.7,1,2025
POL000256,CUST03977,15.7,Low,,648.8,1,2025
POL000257,CUST03064,12.4,Low,1540.92,0.0,0,2025
POL000258,CUST01422,50.3,High,1845.8,1116.97,1,2025
POL000259,CUST02827,89.9,Very High,2723.22,0.0,0,2025
POL000260,CUST04754,26.0,Medium,1630.08,0.0,0,2025
POL000261,CUST04974,28.1,Medium,1203.8,3511.38,1,2025
POL000262,CUST04309,15.0,Low,1619.02,0.0,0,2025
POL000263,CUST02424,8.0,Low,906.44,0.0,0,2025
POL000264,CUST01926,42.8,Medium,2194.7,0.0,0,2025
POL000265,CUST03587,28.0,Medium,1443.5,0.0,0,2025
POL000266,CUST00586,,Low,1010.43,0.0,0,2025
POL000267,CUST00701,28.1,Medium,1900.19,0.0,0,2025
POL000268,CUST02002,22.4,Low,1435.37,0.0,0,2025
POL000269,CUST03234,22.8,Low,1180.87,2663.46,1,2025
POL000270,CUST00626,1.6,Low,1189.77,0.0,0,2025
POL000271,CUST02638,37.6,Medium,1584.85,4567.52,3,2025
POL000272,CUST02499,31.3,Medium,1545.65,0.0,0,2025
POL000273,CUST02917,13.4,Low,1442.56,0.0,0,2025
POL000274,CUST00490,,Low,1207.1,0.0,0,2025
POL000275,CUST03671,29.3,Medium,1830.31,6431.62,1,2025
POL000276,CUST00716,81.7,Very High,2423.57,0.0,0,2025
POL000277,CUST02129,21.1,Low,1578.42,827.92,1,2025
POL000278,CUST02980,39.4,Medium,1670.77,0.0,0,2025
POL000279,CUST04327,5.8,Low,1072.67,0.0,0,2025
POL000280,CUST02467,18.4,Low,1537.68,0.0,0,2025
POL000281,CUST04543,16.9,Low,1192.85,0.0,0,2025
POL000282,CUST02808,17.4,Low,1471.25,501.37,2,2025
POL000283,CUST03771,3.3,Low,958.97,0.0,0,2025
POL000284,CUST01396,50.9,High,1905.55,0.0,0,2025
POL000285,CUST04938,,Low,1226.4,0.0,0,2025
POL000286,CUST01934,8.3,Low,1053.96,0.0,0,2025
POL000287,CUST01625,49.3,Medium,1829.21,0.0,0,2025
POL000288,CUST03539,0.0,Low,998.79,0.0,0,2025
POL000289,CUST02217,28.2,Medium,1685.18,0.0,0,2025
POL000290,CUST00828,22.5,Low,1404.85,0.0,0,2025
POL000291,CUST01530,11.5,Low,1437.75,0.0,0,2025
POL000292,CUST00569,27.5,Medium,1671.05,0.0,0,2025
POL000293,CUST00350,27.0,Medium,1317.08,0.0,0,2025
POL000294,CUST04455,28.5,Medium,1369.31,3606.37,3,2025
POL000295,CUST02489,12.1,Low,1273.44,536.3,1,2025
POL000296,CUST02110,14.0,Low,1503.52,0.0,0,2025
POL000297,CUST02573,8.5,Low,1497.67,0.0,0,2025
POL000298,CUST00190,18.7,Low,1319.62,0.0,0,2025
POL000299,CUST00067,0.0,Low,1109.58,0.0,0,2025
POL000300,CUST00739,23.7,Low,1728.87,0.0,0,2025
POL000301,CUST01450,29.3,Medium,1506.5,0.0,0,2025
POL000302,CUST04066,1.4,Low,964.52,0.0,0,2025
POL000303,CUST01729,,Low,750.7,16483.98,1,2025
POL000304,CUST03963,0.0,Low,1443.48,0.0,0,2025
POL000305,CUST04654,7.4,Low,1069.64,0.0,0,2025
POL000306,CUST00474,30.8,Medium,1908.15,0.0,0,2025
POL000307,CUST00094,5.1,Low,976.01,0.0,0,2025
POL000308,CUST03310,22.6,Low,,0.0,0,2025
POL000309,CUST01860,25.7,Medium,1679.55,0.0,0,2025
POL000310,CUST01652,21.6,Low,1683.14,0.0,0,2025
POL000311,CUST02469,42.3,Medium,1838.14,0.0,0,2025
POL000312,CUST00314,4.3,Low,1102.38,0.0,0,2025
POL000313,CUST00968,66.8,High,2286.55,0.0,0,2025
POL000314,CUST04527,0.0,Low,1513.35,0.0,0,2025
POL000315,CUST04078,13.4,Low,1325.4,0.0,0,2025
POL000316,CUST00871,18.7,Low,1164.83,0.0,0,2025
POL000317,CUST01398,6.1,Low,760.88,0.0,0,2025
POL000318,CUST01055,4.3,Low,1249.13,0.0,0,2025
POL000319,CUST01694,38.5,Medium,1522.55,0.0,0,2025
POL000320,CUST00410,15.0,Low,1564.65,0.0,0,2025
POL000321,CUST00510,51.5,High,1955.36,0.0,0,2025
POL000322,CUST02000,22.0,Low,1484.79,0.0,0,2025
POL000323,CUST03286,21.3,Low,1593.82,0.0,0,2025
POL000324,CUST04320,20.1,Low,1534.4,200.0,1,2025
POL000325,CUST04462,5.7,Low,1317.31,0.0,0,2025
POL000326,CUST00781,33.4,Medium,1833.5,0.0,0,2025
POL000327,CUST04505,25.5,Medium,1706.08,10878.14,3,2025
POL000328,CUST02104,14.6,Low,1233.46,0.0,0,2025
POL000329,CUST04024,51.9,High,1770.06,0.0,0,2025
POL000330,CUST01486,26.1,Medium,1897.65,0.0,0,2025
POL000331,CUST00193,10.4,Low,,0.0,0,2025
POL000332,CUST03665,12.5,Low,1224.68,0.0,0,2025
POL000333,CUST01589,36.6,Medium,1429.77,3572.88,1,2025
POL000334,CUST04688,26.2,Medium,1579.01,0.0,0,2025
POL000335,CUST03093,10.6,Low,1094.51,1791.38,1,2025
POL000336,CUST00359,31.7,Medium,1683.72,0.0,0,2025
POL000337,CUST03570,21.2,Low,1500.93,0.0,0,2025
POL000338,CUST01901,27.3,Medium,1870.51,0.0,0,2025
POL000339,CUST02587,23.3,Low,1130.52,0.0,0,2025
POL000340,CUST02503,11.5,Low,1042.47,0.0,0,2025
POL000341,CUST00063,14.9,Low,1046.18,2449.83,2,2025
POL000342,CUST01564,1.2,Low,1212.75,0.0,0,2025
POL000343,CUST00479,11.3,Low,1325.1,0.0,0,2025
POL000344,CUST02269,32.2,Medium,1430.16,0.0,0,2025
POL000345,CUST04266,11.8,Low,1233.05,0.0,0,2025
POL000346,CUST03672,26.2,Medium,1637.24,0.0,0,2025
POL000347,CUST04410,0.0,Low,884.95,0.0,0,2025
POL000348,CUST02538,35.9,Medium,1179.29,0.0,0,2025
POL000349,CUST00932,,Low,1586.84,0.0,0,2025
POL000350,CUST04083,45.9,Medium,1809.3,0.0,0,2025
POL000351,CUST01717,0.0,Low,1153.69,0.0,0,2025
POL000352,CUST04561,24.0,Low,,0.0,0,2025
POL000353,CUST00326,5.5,Low,1079.86,0.0,0,2025
POL000354,CUST03681,16.2,Low,1403.16,9796.7,1,2025
POL000355,CUST03836,32.9,Medium,1626.69,0.0,0,2025
POL000356,CUST03768,43.7,Medium,1830.67,0.0,0,2025
POL000357,CUST02224,34.2,Medium,1920.8,0.0,0,2025
POL000358,CUST03568,18.2,Low,1173.65,0.0,0,2025
POL000359,CUST04268,70.5,High,2238.69,0.0,0,2025
POL000360,CUST03546,25.3,Medium,1576.21,0.0,0,2025
POL000361,CUST01580,25.5,Medium,1302.73,0.0,0,2025
POL000362,CUST03463,3.3,Low,1438.41,0.0,0,2025
POL000363,CUST04852,23.8,Low,1432.88,0.0,0,2025
POL000364,CUST03877,15.2,Low,1349.5,0.0,0,2025
POL000365,CUST02135,11.6,Low,1400.61,0.0,0,2025
POL000366,CUST00681,32.4,Medium,1495.79,0.0,0,2025
POL000367,CUST03936,31.7,Medium,,0.0,0,2025
POL000368,CUST00477,13.2,Low,1061.66,0.0,0,2025
POL000369,CUST00619,10.9,Low,1001.4,0.0,0,2025
POL000370,CUST00555,28.8,Medium,1599.59,0.0,0,2025
POL000371,CUST00271,3.7,Low,1242.99,11390.09,1,2025
POL000372,CUST03891,33.2,Medium,1919.47,0.0,0,2025
POL000373,CUST04556,48.9,Medium,,1572.41,0,2025
POL000374,CUST00179,8.6,Low,1307.09,0.0,0,2025
POL000375,CUST03147,22.6,Low,1127.13,0.0,0,2025
POL000376,CUST03228,23.2,Low,1641.19,200.0,1,2025
POL000377,CUST02375,14.5,Low,861.71,0.0,0,2025
POL000378,CUST03191,35.3,Medium,1670.47,3835.98,1,2025
POL000379,CUST01315,52.6,High,2252.78,0.0,0,2025
POL000380,CUST01663,10.2,Low,1220.58,0.0,0,2025
POL000381,CUST02324,46.5,Medium,1911.86,0.0,0,2025
POL000382,CUST02773,17.3,Low,1129.48,0.0,0,2025
POL000383,CUST03330,0.6,Low,909.91,0.0,0,2025
POL000384,CUST02966,12.8,Low,1522.08,0.0,0,2025
POL000385,CUST02009,9.2,Low,1644.18,7318.16,1,2025
POL000386,CUST04794,28.4,Medium,1474.63,0.0,0,2025
POL000387,CUST00804,46.8,Medium,2068.15,0.0,0,2025
POL000388,CUST00607,12.6,Low,1166.83,9185.05,1,2025
POL000389,CUST03578,24.5,Low,1392.56,359.88,3,2025
POL000390,CUST04240,6.7,Low,1139.78,0.0,0,2025
POL000391,CUST00244,40.6,Medium,1931.29,0.0,0,2025
POL000392,CUST01429,19.9,Low,1625.48,0.0,0,2025
POL000393,CUST00187,13.9,Low,1521.25,0.0,0,2025
POL000394,CUST02281,,Medium,1859.8,1635.63,3,2025
POL000395,CUST03651,33.0,Medium,1713.4,0.0,0,2025
POL000396,CUST02157,12.5,Low,1291.33,0.0,0,2025
POL000397,CUST01946,11.3,Low,1230.95,0.0,0,2025
POL000398,CUST00675,43.1,Medium,1712.83,0.0,0,2025
POL000399,CUST02697,0.0,Low,1158.38,0.0,0,2025
POL000400,CUST01673,23.9,Low,1391.2,0.0,0,2025
POL000401,CUST03381,,Low,1092.15,524.12,2,2025
POL000402,CUST00689,12.2,Low,1330.99,0.0,0,2025
POL000403,CUST01958,6.0,Low,1213.39,0.0,0,2025
POL000404,CUST03971,,Low,1281.18,0.0,0,2025
POL000405,CUST00107,38.1,Medium,1652.73,2842.39,1,2025
POL000406,CUST02733,67.8,High,2252.62,0.0,0,2025
POL000407,CUST02478,28.0,Medium,1511.09,0.0,0,2025
POL000408,CUST03567,2.2,Low,1197.67,0.0,0,2025
POL000409,CUST04367,,Medium,1666.4,542.18,2,2025
POL000410,CUST03534,24.3,Low,1571.91,0.0,0,2025
POL000411,CUST01552,30.3,Medium,1721.5,6217.78,2,2025
POL000412,CUST01809,25.8,Medium,1568.01,0.0,0,2025
POL000413,CUST04634,37.4,Medium,1766.19,0.0,0,2025
POL000414,CUST04208,20.0,Low,1290.96,11389.77,1,2025
POL000415,CUST01219,31.7,Medium,1477.6,0.0,0,2025
POL000416,CUST02080,34.4,Medium,1836.53,0.0,0,2025
POL000417,CUST02876,9.4,Low,1205.99,0.0,0,2025
POL000418,CUST04510,42.8,Medium,,2413.52,1,2025
POL000419,CUST03493,17.3,Low,1148.65,0.0,0,2025
POL000420,CUST01672,7.8,Low,,0.0,0,2025
POL000421,CUST01567,26.2,Medium,1426.91,16059.42,1,2025
POL000422,CUST00131,52.3,High,2051.2,4870.56,1,2025
POL000423,CUST00852,50.8,High,,0.0,0,2025
POL000424,CUST02629,13.6,Low,1393.06,0.0,0,2025
POL000425,CUST03010,15.2,Low,1411.33,0.0,0,2025
POL000426,CUST02995,3.6,Low,1377.01,10332.31,1,2025
POL000427,CUST01790,8.6,Low,1428.55,0.0,0,2025
POL000428,CUST02472,9.1,Low,1331.58,0.0,0,2025
POL000429,CUST01457,18.5,Low,1612.38,0.0,0,2025
POL000430,CUST01001,57.8,High,2025.56,0.0,0,2025
POL000431,CUST04955,53.0,High,2154.01,200.0,3,2025
POL000432,CUST00108,4.7,Low,1557.21,0.0,0,2025
POL000433,CUST00813,18.4,Low,1688.65,351.54,1,2025
